operator_id,incoming_calls,incoming_missed_calls,missed_rate_in,avg_wait_time_in,outgoing_calls,ineffective
936382,1,0.0,0.0,39.0,484.0,True
937362,5,0.0,0.0,50.60000000000001,6.0,True
937366,3,0.0,0.0,53.666666666666664,3.0,True
937368,23,4.0,0.17391304347826086,23.652173913043477,11.0,True
937374,30,0.0,0.0,35.233333333333334,0.0,True
937432,3,1.0,0.3333333333333333,12.0,25.0,True
937742,22,0.0,0.0,15.590909090909092,3.0,True
937874,23,1.0,0.043478260869565216,9.521739130434783,149.0,True
937898,9,2.0,0.2222222222222222,7.555555555555518,38.0,True
937956,901,25.0,0.02774694783573807,1.3329633740288553,1.0,True
939478,22,1.0,0.045454545454545456,27.863636363636363,105.0,True
939698,2,0.0,0.0,13.0,1.0,True
939708,10,1.0,0.1,12.4,36.0,True
940508,2,0.0,0.0,41.5,0.0,True
940610,2,0.0,0.0,4.0,1.0,True
941844,8,1.0,0.125,17.25,12.0,True
944210,133,0.0,0.0,35.225563909774436,51.0,True
944216,288,32.0,0.1111111111111111,35.74652777777778,147.0,True
944218,272,16.0,0.058823529411764705,36.70220588235294,179.0,True
944220,329,21.0,0.06382978723404255,35.753799392097264,232.0,True
944222,192,17.0,0.08854166666666667,34.036458333333336,372.0,True
944226,202,38.0,0.18811881188118812,43.81188118811881,134.0,True
944228,31,0.0,0.0,49.64516129032258,5.0,True
944246,9,0.0,0.0,36.99999999999999,1.0,True
944560,5,0.0,0.0,17.8,1.0,True
944648,5,0.0,0.0,39.6,47.0,True
945046,73,5.0,0.0684931506849315,18.39726027397261,32.0,True
945058,4,0.0,0.0,18.75,1.0,True
946072,1,0.0,0.0,6.0,1.0,True
947304,43,4.0,0.09302325581395349,5.41860465116279,784.0,True
948170,2,0.0,0.0,15.0,3.0,True
948286,384,18.0,0.046875,15.92708333333333,0.0,True
948288,24,1.0,0.041666666666666664,12.875,0.0,True
948756,1,1.0,1.0,8.0,175.0,True
948758,19,1.0,0.05263157894736842,25.368421052631582,657.0,True
949420,5,0.0,0.0,0.8,1.0,True
950806,9,0.0,0.0,9.777777777777779,4.0,True
951506,43,0.0,0.0,41.13953488372093,218.0,True
951508,339,24.0,0.07079646017699115,18.9882005899705,153.0,True
951650,2,0.0,0.0,45.0,10.0,True
952196,2,0.0,0.0,12.0,3.0,True
952292,2,0.0,0.0,40.5,0.0,True
952462,10,0.0,0.0,21.8,2.0,True
952968,2,0.0,0.0,5.0,2.0,True
